phone2-stress	phone1-number	phone1-stress	phone1-manner class	name	phone2-subnumber	phone2-manner class	phone1-type	phone1-subnumber	phone2-type	phone2-number	outcome
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
1	1	-1	s	Sr	1	v	c	2	n	1	Preserved
-1	0	-1	#	Fc	1	fn		0	o	0	Preserved
0	0	-1	fn	Fr	1	v	o	1	n	1	Preserved
-1	1	0	v	V	1	g	n	1	o	0	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	-1	s	Sr	1	fu	c	1	o	0	Preserved
-1	1	-1	s	Fc	1	fu	c	1	o	0	Preserved
1	0	-1	fu	Fr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	a	1	Preserved
0	1	-1	g	G	1	v	a	1	n	2	Preserved
-1	2	0	v	V	1	fs	n	1	c	2	Preserved
-1	2	0	v	Fc	1	fs	n	1	c	2	Preserved
-1	2	-1	fs	Fr	1	fn	c	1	o	0	Preserved
-1	2	-1	fs	Fc	1	fn	c	1	o	0	Preserved
1	0	-1	fn	Fr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	a	1	Preserved
-1	2	0	v	V	1	g	n	1	c	2	Preserved
-1	2	-1	g	G	1	s	c	1	o	0	Preserved
-1	2	-1	g	Sc	1	s	c	1	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fu	n	1	c	1	Preserved
-1	1	1	v	Fc	1	fu	n	1	c	1	Preserved
1	1	-1	fu	Fr	1	v	c	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	-1	s	Sc	1	s	c	1	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	c	1	Preserved
-1	1	-1	g	G	1	s	c	1	o	0	Preserved
-1	1	-1	g	Sc	1	s	c	1	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	o	0	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	o	0	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fu	n	1	c	1	Preserved
-1	1	1	v	Fc	1	fu	n	1	c	1	Preserved
0	1	-1	fu	Fr	1	v	c	1	n	1	Preserved
-1	1	0	v	V	1	s	n	1	o	0	Preserved
-1	1	0	v	Sc	1	s	n	1	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	-1	s	Sr	1	n	c	1	o	0	Preserved
-1	1	-1	s	Nc	1	n	c	1	o	0	Preserved
1	0	-1	n	Nr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	a	1	Preserved
-1	1	-1	g	G	2	s	a	1	a	1	Preserved
-1	1	-1	g	Sc	2	s	a	1	a	1	Preserved
0	1	-1	s	Sr	1	v	a	2	n	2	Preserved
-1	1	1	v	V	1	n	n	1	c	1	Preserved
-1	1	1	v	Nc	1	n	n	1	c	1	Preserved
-1	1	-1	n	Nr	1	s	c	1	o	0	Preserved
-1	1	-1	n	Sc	1	s	c	1	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	o	0	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fu	n	1	c	1	Preserved
-1	1	1	v	Fc	1	fu	n	1	c	1	Preserved
1	1	-1	fu	Fr	1	v	c	1	n	1	Preserved
-1	1	1	v	V	1	n	n	1	c	1	Preserved
-1	1	1	v	Nc	1	n	n	1	c	1	Preserved
-1	0	-1	#	Fc	1	fu		0	o	0	Preserved
1	0	-1	fu	Fr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	c	1	Preserved
-1	1	-1	g	G	2	n	c	1	c	1	Preserved
-1	1	-1	g	Nc	2	n	c	1	c	1	Preserved
-1	1	-1	n	Nr	1	s	c	2	o	0	Preserved
-1	1	-1	n	Sc	1	s	c	2	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	o	0	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fs	n	1	o	0	Preserved
-1	1	1	v	Fc	1	fs	n	1	o	0	Preserved
1	0	-1	fs	Fr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fu	n	1	o	0	Preserved
-1	1	1	v	Fc	1	fu	n	1	o	0	Preserved
1	0	-1	fu	Fr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	c	1	Preserved
-1	1	-1	g	G	2	n	c	1	c	1	Preserved
-1	1	-1	g	Nc	2	n	c	1	c	1	Preserved
-1	1	-1	n	Nr	3	s	c	2	c	1	Preserved
-1	1	-1	n	Sc	3	s	c	2	c	1	Preserved
-1	1	-1	s	Sr	1	g	c	3	o	0	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	n	n	1	c	1	Preserved
-1	1	1	v	Nc	1	n	n	1	c	1	Preserved
-1	1	-1	n	Nr	2	s	c	1	c	1	Preserved
-1	1	-1	n	Sc	2	s	c	1	c	1	Preserved
1	1	-1	s	Sr	1	v	c	2	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	-1	s	Fc	1	fn	c	1	o	0	Preserved
0	0	-1	fn	Fr	1	v	o	1	n	1	Preserved
-1	1	0	v	V	1	s	n	1	o	0	Preserved
-1	1	0	v	Sc	1	s	n	1	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	2	v	V	1	s	n	1	a	1	Preserved
-1	1	2	v	Sc	1	s	n	1	a	1	Preserved
1	1	-1	s	Sr	1	v	a	1	n	2	Preserved
1	2	1	v	V	1	v	n	1	n	1	Preserved
-1	1	1	v	V	1	n	n	1	c	1	Preserved
-1	1	1	v	Nc	1	n	n	1	c	1	Preserved
-1	1	1	v	V	1	s	n	1	o	0	Preserved
-1	1	1	v	Sc	1	s	n	1	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fs	n	1	c	1	Preserved
-1	1	1	v	Fc	1	fs	n	1	c	1	Preserved
1	1	-1	fs	Fr	1	v	c	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	-1	s	Sr	2	fs	c	1	c	1	Preserved
-1	1	-1	s	Fc	2	fs	c	1	c	1	Preserved
1	1	-1	fs	Fr	1	v	c	2	n	1	Preserved
-1	1	1	v	V	1	g	n	1	a	1	Preserved
-1	1	-1	g	G	2	n	a	1	a	1	Preserved
-1	1	-1	g	Nc	2	n	a	1	a	1	Preserved
2	1	-1	n	Nr	1	v	a	2	n	2	Preserved
-1	2	2	v	V	1	fs	n	1	c	2	Preserved
-1	2	2	v	Fc	1	fs	n	1	c	2	Preserved
-1	2	-1	fs	Fr	2	s	c	1	c	2	Preserved
-1	2	-1	s	Sc	1	s	c	2	o	0	Preserved
0	0	-1	s	Sr	1	v	o	1	n	1	Preserved
1	1	0	v	V	2	v	n	1	n	1	Preserved
-1	1	1	v	V	1	s	n	2	a	1	Preserved
-1	1	1	v	Sc	1	s	n	2	a	1	Preserved
-1	1	-1	s	Sr	2	s	a	1	a	1	Preserved
0	1	-1	g	G	1	v	a	3	n	2	Preserved
-1	2	0	v	V	1	s	n	1	o	0	Preserved
-1	2	0	v	Sc	1	s	n	1	o	0	Preserved
0	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	0	v	V	1	g	n	1	a	1	Preserved
1	1	-1	g	G	1	v	a	1	n	2	Preserved
1	2	1	v	V	1	v	n	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	1	v	V	1	n	n	1	c	1	Preserved
-1	1	1	v	Nc	1	n	n	1	c	1	Preserved
0	1	-1	n	Nr	1	v	c	1	n	1	Preserved
-1	1	0	v	V	1	g	n	1	o	0	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	a	1	Preserved
-1	1	1	v	Sc	1	s	n	1	a	1	Preserved
0	1	-1	s	Sr	1	v	a	1	n	2	Preserved
-1	2	-1	g	G	1	s	c	1	o	0	Preserved
-1	2	-1	g	Sc	1	s	c	1	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fn	n	1	o	0	Preserved
-1	1	1	v	Fc	1	fn	n	1	o	0	Preserved
0	0	-1	fn	Fr	1	v	o	1	n	1	Preserved
-1	1	0	v	V	1	g	n	1	o	0	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fu	n	1	c	1	Preserved
-1	1	1	v	Fc	1	fu	n	1	c	1	Preserved
-1	1	-1	fu	Fr	2	s	c	1	c	1	Preserved
-1	1	0	v	V	1	n	n	1	c	1	Preserved
-1	1	0	v	Nc	1	n	n	1	c	1	Preserved
-1	1	-1	n	Nr	2	s	c	1	c	1	Preserved
-1	1	-1	n	Sc	2	s	c	1	c	1	Preserved
1	1	-1	s	Sr	1	v	c	2	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	-1	s	Sr	2	fs	c	1	c	1	Preserved
-1	1	-1	s	Fc	2	fs	c	1	c	1	Preserved
-1	0	-1	#	Nc	1	n		0	o	0	Preserved
1	0	-1	n	Nr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	a	1	Preserved
-1	1	1	v	Sc	1	s	n	1	a	1	Preserved
0	1	-1	s	Sr	1	v	a	1	n	2	Preserved
1	2	0	v	V	1	v	n	1	n	1	Preserved
-1	1	1	v	V	1	n	n	1	c	1	Preserved
-1	1	1	v	Nc	1	n	n	1	c	1	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	n	n	1	c	1	Preserved
-1	1	1	v	Nc	1	n	n	1	c	1	Preserved
-1	1	-1	n	Nr	1	fn	c	1	o	0	Preserved
-1	1	-1	n	Fc	1	fn	c	1	o	0	Preserved
1	0	-1	fn	Fr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	-1	s	Sr	1	fu	c	1	o	0	Preserved
-1	1	-1	s	Fc	1	fu	c	1	o	0	Preserved
-1	0	-1	fu	Fr	2	g	o	1	o	0	Preserved
1	0	-1	g	G	1	v	o	2	n	1	Preserved
-1	1	1	v	V	1	n	n	1	c	1	Preserved
-1	1	1	v	Nc	1	n	n	1	c	1	Preserved
-1	1	-1	n	Nr	1	fn	c	1	o	0	Preserved
-1	1	-1	n	Fc	1	fn	c	1	o	0	Preserved
0	0	-1	fn	Fr	1	v	o	1	n	1	Preserved
-1	0	-1	#	Fc	1	fu		0	o	0	Preserved
-1	0	-1	fu	Fr	2	g	o	1	o	0	Preserved
1	0	-1	g	G	1	v	o	2	n	1	Preserved
-1	1	1	v	V	1	n	n	1	c	1	Preserved
-1	1	1	v	Nc	1	n	n	1	c	1	Preserved
-1	1	-1	n	Nr	1	fn	c	1	o	0	Preserved
-1	1	-1	n	Fc	1	fn	c	1	o	0	Preserved
0	0	-1	fn	Fr	1	v	o	1	n	1	Preserved
-1	1	0	v	V	1	s	n	1	o	0	Preserved
-1	1	0	v	Sc	1	s	n	1	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	a	1	Preserved
-1	1	1	v	Sc	1	s	n	1	a	1	Preserved
0	1	-1	s	Sr	1	v	a	1	n	2	Preserved
-1	2	0	v	V	1	n	n	1	c	2	Preserved
-1	2	0	v	Nc	1	n	n	1	c	2	Preserved
1	2	-1	n	Nr	1	v	c	1	n	1	Preserved
-1	1	1	v	V	1	fu	n	1	c	1	Preserved
-1	1	1	v	Fc	1	fu	n	1	c	1	Preserved
-1	1	-1	fu	Fr	1	fn	c	1	o	0	Preserved
-1	1	-1	fu	Fc	1	fn	c	1	o	0	Preserved
0	0	-1	fn	Fr	1	v	o	1	n	1	Preserved
-1	1	0	v	V	1	g	n	1	o	0	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fs	n	1	c	1	Preserved
-1	1	1	v	Fc	1	fs	n	1	c	1	Preserved
-1	1	-1	fs	Fr	2	s	c	1	c	1	Preserved
-1	1	-1	s	Sr	1	g	c	2	o	0	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	1	v	V	1	n	n	1	c	1	Preserved
-1	1	1	v	Nc	1	n	n	1	c	1	Preserved
-1	0	-1	#	Fc	1	fs		0	o	0	Preserved
1	0	-1	fs	Fr	1	v	o	1	n	1	Preserved
-1	1	0	v	Nc	1	n	n	1	a	1	Preserved
-1	1	-1	n	Nr	2	g	a	1	a	1	Preserved
0	1	-1	g	G	1	v	a	2	n	2	Preserved
-1	2	0	v	Nc	1	n	n	1	c	2	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	-1	s	Sr	1	n	c	1	o	0	Preserved
-1	1	-1	s	Nc	1	n	c	1	o	0	Preserved
1	0	-1	n	Nr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	a	1	Preserved
-1	1	-1	g	G	2	s	a	1	a	1	Preserved
-1	1	-1	g	Sc	2	s	a	1	a	1	Preserved
0	1	-1	s	Sr	1	v	a	2	n	2	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	0	-1	#	Fc	1	fs		0	o	0	Preserved
1	0	-1	fs	Fr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fn	n	1	o	0	Preserved
-1	1	1	v	Fc	1	fn	n	1	o	0	Preserved
0	0	-1	fn	Fr	1	v	o	1	n	1	Preserved
-1	1	0	v	V	1	fn	n	1	o	0	Preserved
-1	1	0	v	Fc	1	fn	n	1	o	0	Preserved
0	0	-1	fn	Fr	1	v	o	1	n	1	Preserved
-1	1	0	v	V	1	g	n	1	o	0	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fs	n	1	c	1	Preserved
-1	1	1	v	Fc	1	fs	n	1	c	1	Preserved
0	1	-1	fs	Fr	1	v	c	1	n	1	Preserved
1	1	0	v	V	2	v	n	1	n	1	Preserved
-1	1	1	v	V	1	n	n	2	c	1	Preserved
-1	1	1	v	Nc	1	n	n	2	c	1	Preserved
-1	1	-1	n	Nr	2	s	c	1	c	1	Preserved
-1	1	-1	n	Sc	2	s	c	1	c	1	Preserved
-1	1	-1	s	Fc	1	fn	c	2	o	0	Preserved
1	0	-1	fn	Fr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	a	1	Preserved
-1	1	1	v	Sc	1	s	n	1	a	1	Preserved
0	1	-1	s	Sr	1	v	a	1	n	2	Preserved
-1	2	0	v	V	1	g	n	1	c	2	Preserved
-1	2	-1	g	G	1	s	c	1	o	0	Preserved
-1	2	-1	g	Sc	1	s	c	1	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fu	n	1	a	1	Preserved
-1	1	1	v	Fc	1	fu	n	1	a	1	Preserved
0	1	-1	fu	Fr	1	v	a	1	n	2	Preserved
-1	2	0	v	V	1	s	n	1	o	0	Preserved
-1	2	0	v	Sc	1	s	n	1	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	a	1	Preserved
-1	1	1	v	Sc	1	s	n	1	a	1	Preserved
0	1	-1	s	Sr	1	v	a	1	n	2	Preserved
-1	2	0	v	V	1	n	n	1	c	2	Preserved
-1	2	0	v	Nc	1	n	n	1	c	2	Preserved
-1	2	-1	n	Nr	1	s	c	1	o	0	Preserved
-1	2	-1	n	Sc	1	s	c	1	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	c	1	Preserved
-1	1	-1	g	G	2	s	c	1	c	1	Preserved
-1	1	-1	g	Sc	2	s	c	1	c	1	Preserved
-1	1	1	v	V	1	fu	n	1	c	1	Preserved
-1	1	-1	fu	Fc	1	fn	c	1	o	0	Preserved
0	0	-1	fn	Fr	1	v	o	1	n	1	Preserved
-1	1	0	v	V	1	g	n	1	o	0	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fs	n	1	c	1	Preserved
-1	1	1	v	Fc	1	fs	n	1	c	1	Preserved
-1	1	-1	fs	Fr	2	s	c	1	c	1	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	0	v	V	1	n	n	1	c	1	Preserved
-1	1	0	v	Nc	1	n	n	1	c	1	Preserved
-1	1	-1	n	Nr	2	s	c	1	c	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fs	n	1	c	1	Preserved
-1	1	1	v	Fc	1	fs	n	1	c	1	Preserved
0	1	-1	fs	Fr	1	v	c	1	n	1	Preserved
-1	1	0	v	V	1	s	n	1	a	1	Preserved
-1	1	0	v	Sc	1	s	n	1	a	1	Preserved
1	1	-1	s	Sr	1	v	a	1	n	2	Preserved
-1	2	1	v	V	1	fu	n	1	c	2	Preserved
-1	2	1	v	Fc	1	fu	n	1	c	2	Preserved
-1	2	-1	fu	Fr	1	fn	c	1	o	0	Preserved
-1	1	0	v	V	1	s	n	1	o	0	Preserved
-1	1	0	v	Sc	1	s	n	1	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	-1	s	Sr	1	n	c	1	o	0	Preserved
-1	1	-1	s	Nc	1	n	c	1	o	0	Preserved
1	0	-1	n	Nr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	a	1	Preserved
-1	1	-1	g	G	2	s	a	1	a	1	Preserved
-1	1	-1	g	Sc	2	s	a	1	a	1	Preserved
0	1	-1	s	Sr	1	v	a	2	n	2	Preserved
-1	1	0	v	V	1	n	n	1	c	1	Preserved
-1	1	0	v	Nc	1	n	n	1	c	1	Preserved
-1	1	-1	n	Nr	2	s	c	1	c	1	Preserved
-1	1	-1	n	Sc	2	s	c	1	c	1	Preserved
-1	1	-1	s	Sr	1	fn	c	2	o	0	Preserved
-1	1	1	v	V	1	n	n	1	c	1	Preserved
-1	1	1	v	Nc	1	n	n	1	c	1	Preserved
-1	1	-1	n	Nr	1	g	c	1	o	0	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	-1	g	G	1	a	c	1	o	0	Preserved
-1	1	-1	g	Sc	1	a	c	1	o	0	Preserved
-1	1	-1	g	Sr	1	a	c	1	o	0	Preserved
-1	1	-1	g	Fc	1	a	c	1	o	0	Preserved
1	0	-1	a	Fr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fs	n	1	c	1	Preserved
-1	1	1	v	Fc	1	fs	n	1	c	1	Preserved
-1	1	-1	fs	Fr	2	s	c	1	c	1	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fs	n	1	a	1	Preserved
-1	1	1	v	Fc	1	fs	n	1	a	1	Preserved
0	1	-1	fs	Fr	1	v	a	1	n	2	Preserved
-1	2	0	v	Sc	1	s	n	1	a	2	Preserved
-1	2	-1	s	Sr	2	g	a	1	a	2	Preserved
0	2	-1	g	G	1	v	a	2	n	3	Preserved
-1	3	0	v	V	1	s	n	1	o	0	Preserved
-1	3	0	v	Sc	1	s	n	1	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
0	1	1	v	V	2	v	n	1	n	1	Preserved
-1	1	0	v	Nc	1	n	n	2	c	1	Preserved
0	1	-1	n	Nr	1	v	c	1	n	1	Preserved
-1	1	0	v	V	1	n	n	1	c	1	Preserved
-1	1	0	v	Nc	1	n	n	1	c	1	Preserved
0	1	-1	n	Nr	1	v	c	1	n	1	Preserved
-1	1	0	v	V	1	fs	n	1	o	0	Preserved
-1	1	0	v	Fc	1	fs	n	1	o	0	Preserved
-1	0	-1	fs	Fr	2	s	o	1	o	0	Preserved
-1	0	-1	s	Sr	3	g	o	2	o	0	Preserved
1	0	-1	g	G	1	v	o	3	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	n	n	1	c	1	Preserved
-1	1	1	v	Nc	1	n	n	1	c	1	Preserved
0	1	-1	n	Nr	1	v	c	1	n	1	Preserved
-1	1	0	v	V	1	n	n	1	c	1	Preserved
-1	1	0	v	Nc	1	n	n	1	c	1	Preserved
0	1	-1	n	Nr	1	v	c	1	n	1	Preserved
-1	0	-1	#	Fc	1	fu		0	o	0	Preserved
1	0	-1	fu	Fr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	a	1	Preserved
-1	1	-1	g	G	2	s	a	1	a	1	Preserved
-1	1	-1	g	Sc	2	s	a	1	a	1	Preserved
0	1	-1	s	Sr	1	v	a	2	n	2	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
0	1	-1	s	Sr	1	v	c	1	n	1	Preserved
-1	1	0	v	V	1	fu	n	1	o	0	Preserved
-1	1	0	v	Fc	1	fu	n	1	o	0	Preserved
1	0	-1	fu	Fr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	a	1	Preserved
-1	1	-1	g	G	2	s	a	1	a	1	Preserved
-1	2	0	v	V	1	fu	n	1	o	0	Preserved
-1	2	0	v	Fc	1	fu	n	1	o	0	Preserved
1	0	-1	fu	Fr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fu	n	1	c	1	Preserved
-1	1	1	v	Fc	1	fu	n	1	c	1	Preserved
0	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	0	v	V	1	s	n	1	a	1	Preserved
-1	1	0	v	Sc	1	s	n	1	a	1	Preserved
-1	1	-1	s	Sr	2	g	a	1	a	1	Preserved
1	1	-1	g	G	1	v	a	2	n	2	Preserved
-1	1	1	v	V	1	n	n	1	a	1	Preserved
-1	1	1	v	Nc	1	n	n	1	a	1	Preserved
-1	1	-1	n	Nr	2	s	a	1	a	1	Preserved
-1	1	-1	n	Sc	2	s	a	1	a	1	Preserved
0	1	-1	s	Sr	1	v	a	2	n	2	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	c	1	Preserved
1	0	-1	g	G	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	g	n	1	c	1	Preserved
-1	1	-1	g	G	1	s	c	1	o	0	Preserved
0	1	1	v	V	2	v	n	1	n	1	Preserved
-1	1	0	v	Nc	1	n	n	2	c	1	Preserved
-1	1	-1	n	Nr	1	fs	c	1	o	0	Preserved
-1	1	-1	n	Fc	1	fs	c	1	o	0	Preserved
1	0	-1	fs	Fr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fn	n	1	c	1	Preserved
-1	1	1	v	Fc	1	fn	n	1	c	1	Preserved
-1	1	1	v	V	1	fs	n	1	c	1	Preserved
-1	1	1	v	Fc	1	fs	n	1	c	1	Preserved
-1	1	-1	fs	Fr	2	s	c	1	c	1	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	fs	n	1	a	1	Preserved
-1	1	1	v	Fc	1	fs	n	1	a	1	Preserved
0	1	-1	fs	Fr	1	v	a	1	n	2	Preserved
-1	2	0	v	Sc	1	s	n	1	a	2	Preserved
0	2	-1	g	G	1	v	a	2	n	3	Preserved
-1	3	0	v	V	1	s	n	1	o	0	Preserved
-1	3	0	v	Sc	1	s	n	1	o	0	Preserved
0	0	-1	s	Sr	1	v	o	1	n	1	Preserved
1	1	0	v	V	2	v	n	1	n	1	Preserved
-1	1	1	v	V	1	s	n	2	a	1	Preserved
-1	1	1	v	Sc	1	s	n	2	a	1	Preserved
-1	1	-1	s	Sr	2	s	a	1	a	1	Preserved
0	1	-1	g	G	1	v	a	3	n	2	Preserved
-1	2	0	v	V	1	fs	n	1	o	0	Preserved
-1	2	0	v	Fc	1	fs	n	1	o	0	Preserved
2	0	-1	fs	Fr	1	v	o	1	n	1	Preserved
-1	1	2	v	V	1	fn	n	1	a	1	Preserved
-1	2	1	v	V	1	fs	n	1	c	2	Preserved
-1	2	1	v	Fc	1	fs	n	1	c	2	Preserved
-1	2	-1	fs	Fr	2	s	c	1	c	2	Preserved
-1	1	1	v	V	1	n	n	1	c	1	Preserved
-1	1	1	v	Nc	1	n	n	1	c	1	Preserved
1	1	1	v	V	1	v	n	1	n	1	Preserved
-1	1	1	v	V	1	s	n	1	c	1	Preserved
-1	1	1	v	Sc	1	s	n	1	c	1	Preserved
-1	1	-1	s	Sr	2	fs	c	1	c	1	Preserved
-1	1	-1	s	Fc	2	fs	c	1	c	1	Preserved
-1	1	-1	fs	Fr	1	s	c	2	o	0	Preserved
1	0	-1	s	Sr	1	v	o	1	n	1	Preserved
-1	1	1	v	V	1	n	n	1	c	1	Preserved
-1	1	1	v	Nc	1	n	n	1	c	1	Preserved
-1	1	-1	n	Nr	2	s	c	1	c	1	Preserved
1	1	-1	s	Sr	1	v	c	2	n	1	Preserved
